variant,tier_a_event_count,tier_b_event_count,tier_c_event_count,tier_a_recall,tier_b_recall,tier_c_recall,tier_a_snapshot_recall,tier_b_snapshot_recall,tier_c_snapshot_recall,tier_a_prearmed_recall,tier_b_prearmed_recall,ab_weighted_recall,reaction_median_ms,reaction_p95_ms,tier_a_reaction_p95_ms,tier_b_reaction_p95_ms,oversampling_median_ms,oversampling_p95_ms,oversampling_observed_count,oversampling_censored_dataset_end,oversampling_ended_by_next_event,oversampling_released_count,oversampling_horizon_hit_count,false_fast_time,fast_time_fraction,snapshot_count,fixed1s_snapshot_count,snapshot_reduction,mid_reconstruction_mae_bp,imbalance_reconstruction_mae,gates_passed,gate_count,pass,checks
asym-log_excess-price_heavy-balanced-tau2600-g1.2,205,45,756,1.0,1.0,0.8267195767195767,1.0,0.9333333333333333,0.7976190476190477,0.5365853658536586,0.8444444444444444,1.0,0.0,0.0,0.0,0.0,4750.0,24524.999999999993,250,0,67,176,7,0.18477762827739191,0.19854862945897636,13978,35105,0.6018231021222048,0.16691585329586012,0.1708315556153034,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-log_excess-balanced-fidelity-tau700-g1.2,205,45,756,1.0,1.0,0.7764550264550265,1.0,0.8222222222222222,0.6693121693121693,0.4,0.7333333333333333,1.0,0.0,0.0,0.0,0.0,2000.0,6000.0,250,0,32,218,0,0.06336230408378486,0.07739693346342019,11602,35105,0.6695057684090586,0.21141128234636697,0.18744763701691422,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": true, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
asym-sqrt_excess-confluence-balanced-tau2600-g1.2,205,45,756,1.0,1.0,0.9563492063492064,1.0,1.0,0.8875661375661376,0.6487804878048781,0.9555555555555556,1.0,0.0,0.0,0.0,0.0,5750.0,30000.0,250,0,77,155,18,0.31919706171133494,0.3310591871470385,18254,35105,0.4800170915823957,0.12035408100885966,0.1427957510063665,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": false, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-sqrt_excess-price_heavy-balanced-tau1000-g0.75,205,45,756,1.0,1.0,0.75,1.0,0.9111111111111111,0.6759259259259259,0.4195121951219512,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,2250.0,6000.0,250,0,32,218,0,0.06130404741990618,0.07545987366382043,10686,35105,0.695598917533115,0.24425185396395235,0.19317015416451172,9,9,True,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": true, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-log_excess-price_heavy-responsive-tau700-g0.95,205,45,756,1.0,1.0,0.6984126984126984,1.0,0.8444444444444444,0.6283068783068783,0.4,0.6888888888888889,1.0,0.0,37.499999999994316,0.0,0.0,1750.0,4250.0,250,0,21,229,0,0.04893996145314375,0.06278352644585135,10270,35105,0.7074490813274462,0.25755097150989664,0.19677865560909324,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": true, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
asym-sqrt_excess-confluence-responsive-tau1000-g1.2,205,45,756,1.0,1.0,0.9312169312169312,1.0,1.0,0.8425925925925926,0.5121951219512195,0.9333333333333333,1.0,0.0,0.0,0.0,0.0,3250.0,19049.99999999998,250,0,60,187,3,0.22424815447834467,0.2373467977980188,16634,35105,0.526164364050705,0.13095919778701726,0.15796804120409783,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": false, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-sqrt_excess-price_heavy-clean_release-tau2600-g0.55,205,45,756,1.0,1.0,0.7367724867724867,1.0,0.9333333333333333,0.701058201058201,0.4975609756097561,0.7555555555555555,1.0,0.0,250.0,0.0,0.0,3500.0,13387.499999999996,250,0,57,190,3,0.10665842394268883,0.12110896673527087,11180,35105,0.6815268480273465,0.24387578008385866,0.18499967229246234,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-log_excess-balanced-clean_release-tau1000-g1.2,205,45,756,1.0,1.0,0.7156084656084656,1.0,0.8888888888888888,0.6706349206349206,0.4,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,2000.0,6387.499999999995,250,0,34,216,0,0.0619222517182443,0.07588716626667331,11021,35105,0.6860561173621991,0.2339393914181818,0.19448061030801503,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
asym-sqrt_excess-confluence-fidelity-tau2600-g0.95,205,45,756,1.0,1.0,0.9616402116402116,1.0,1.0,0.9034391534391535,0.6487804878048781,0.9555555555555556,1.0,0.0,0.0,0.0,0.0,6250.0,30000.0,250,0,83,148,19,0.3322593548856322,0.34395630220981493,18277,35105,0.4793619142572283,0.12069697728197032,0.14011006653841848,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": false, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-log_excess-confluence-responsive-tau2600-g1.2,205,45,756,1.0,1.0,0.9457671957671958,1.0,1.0,0.8743386243386243,0.624390243902439,0.9333333333333333,1.0,0.0,0.0,0.0,0.0,6250.0,30000.0,250,0,83,148,19,0.3096912615004182,0.32172284377470284,17454,35105,0.5028058681099559,0.13094348459666014,0.14552278696032248,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": false, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-sqrt_excess-balanced-responsive-tau1900-g0.95,205,45,756,1.0,1.0,0.9576719576719577,1.0,1.0,0.876984126984127,0.5804878048780487,0.9555555555555556,1.0,0.0,0.0,0.0,0.0,5250.0,29099.999999999967,250,0,74,163,13,0.2781192043347031,0.290580334570108,16943,35105,0.5173621991169349,0.12930513185175585,0.14937592085662643,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": false, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-log_excess-balanced-clean_release-tau1000-g0.55,205,45,756,1.0,1.0,0.42724867724867727,1.0,0.8,0.37433862433862436,0.18536585365853658,0.5333333333333333,1.0,0.0,250.0,0.0,0.0,1250.0,3500.0,250,0,15,235,0,0.03437215898759955,0.04719446798510173,9305,35105,0.7349380430138157,0.36155112697361413,0.1988393050690268,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": true, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
asym-sqrt_excess-price_heavy-clean_release-tau1400-g0.55,205,45,756,1.0,1.0,0.6481481481481481,1.0,0.9111111111111111,0.6018518518518519,0.424390243902439,0.6444444444444445,1.0,0.0,250.0,0.0,0.0,2250.0,5887.499999999995,250,0,33,217,0,0.06102767373359031,0.07508955340801458,9809,35105,0.7205811138014528,0.2995170739416799,0.19452449145322198,9,9,True,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": true, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
asym-sqrt_excess-price_heavy-responsive-tau1000-g0.75,205,45,756,1.0,1.0,0.8425925925925926,1.0,0.8666666666666667,0.753968253968254,0.424390243902439,0.7555555555555555,1.0,0.0,0.0,0.0,0.0,2500.0,7750.0,250,0,40,210,0,0.08517400632750281,0.09966599961543665,11813,35105,0.6634952285999145,0.20502856426608482,0.18839794778993962,7,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
asym-log_excess-price_heavy-balanced-tau700-g1.2,205,45,756,1.0,1.0,0.6812169312169312,1.0,0.8888888888888888,0.6097883597883598,0.3902439024390244,0.6222222222222222,1.0,0.0,250.0,0.0,0.0,1750.0,4137.499999999995,250,0,21,229,0,0.04524528164660533,0.058660152828320954,10051,35105,0.7136875089018658,0.26547921846908157,0.1983917135098812,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": true, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": false}"
asym-log_excess-confluence-responsive-tau1400-g0.95,205,45,756,1.0,1.0,0.843915343915344,1.0,0.9111111111111111,0.7764550264550265,0.44390243902439025,0.8444444444444444,1.0,0.0,0.0,0.0,0.0,3250.0,14637.499999999996,250,0,59,188,3,0.14224517255172917,0.15641045727430047,13380,35105,0.618857712576556,0.16817753753886308,0.17273547272485024,8,9,False,"{""ab_weighted_recall"": true, ""false_fast"": true, ""oversampling"": false, ""reaction"": true, ""reduction"": true, ""tier_a_recall"": true, ""tier_a_snapshot_recall"": true, ""tier_b_recall"": true, ""tier_b_snapshot_recall"": true}"
